"NOTE: Alum house opens Sept 1 + spillover for alumni sticking around. Operating co-living / hostels / SROs under ~35 beds where one person can just book in. Hive: toured by Elliot, nice kitchen and community, no block available, actively looking for female residents."
Rank,Name,Detail,Address,Neighborhood,Beds est,$/bed est,$ now (verified),Kitchen,Walk min,Sept 15 ready,Walk-in ready,Deal channel,Score,Status,Outreach,Contact,Phone,Email / path,The play,id
1,European Hostel,,Civic Center,Civic Center,25,545,545 (2026-08-22 via booking-page),communal,10,true,yes,operator,97,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-european-hostel
2,HI San Francisco Downtown,,312 Mason St,Union Square,,945,,communal,10,true,yes,operator,89,active,contacted by Alex,,,hiusa.org/group-travel,,inv-hi-san-francisco-downtown
3,221 7th Street Residences,,"221 7th St, SoMa",SoMa,22,1195,1095 (2026-08-22 via booking-page),communal,9,unknown,yes,operator,87.13,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-221-7th-street-residences
4,Amsterdam Hostel,,749 Taylor St (Union Sq),Union Square,,570,690 (2026-08-22 via booking-page),communal,12,true,yes,operator,87,active,contacted by Alex,,,,,inv-amsterdam-hostel
5,Orange Village Hostel,,Central SF (nr Union Sq),Union Square,,1000,690 (2026-08-22 via booking-page),communal,12,true,yes,operator,87,active,contacted by Alex,,,,,inv-orange-village-hostel
6,251 9th Street Residences,,"251 9th St, SoMa",SoMa,22,1195,,communal,12,unknown,yes,operator,85.13,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-251-9th-street-residences
7,Adelaide Hostel,,Isadora Duncan Ln (Taylor/Post),Union Square,,1050,,communal,13,true,yes,operator,84.75,active,contacted by Alex,,,,,inv-adelaide-hostel
8,The 6th Collective Coliving,,"Howard & 6th St, SoMa",SoMa,,1050,,communal,5,unknown,yes,operator,82.75,active,not-contacted,,,,,inv-the-6th-collective-coliving
9,ITH Pacific Tradewinds,,680 Sacramento St (Chinatown/FiDi),FiDi,,1170,,communal,13,true,yes,operator,81.75,active,contacted by Alex,,,,,inv-ith-pacific-tradewinds
10,UrbaNests 1080 Folsom Residences,,"1080 Folsom St, SoMa",SoMa,,1200,,communal,9,unknown,yes,operator,79,active,not-contacted,Reservations/partnerships,(415) 949-0067,reservations@urbanests.com,,inv-urbanests-1080-folsom-residences
11,Bposhtels SF Union Square,,Union Square area (verify),Union Square,,990,,unknown,11,true,yes,operator,78,active,contacted by Alex,,,,,inv-bposhtels-sf-union-square
12,The Bartlett Residences,,Union Square,Union Square,10,1295,,communal,10,unknown,yes,operator,76.63,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-the-bartlett-residences
13,The Herbert Residences,,Union Square (~161 Powell St),Union Square,12,1295,,communal,9,unknown,yes,operator,76.63,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-the-herbert-residences
14,Harcourt Hotel (residence),,"1105 Larkin St, Nob Hill/TL",Nob Hill,,1000,,communal,18,unknown,yes,operator,76,active,not-contacted,,,,,inv-harcourt-hotel-residence
15,Green Tortoise Hostel,,"494 Broadway, North Beach",North Beach,,1000,,communal,25,true,yes,operator,74,active,contacted by Alex,,,,,inv-green-tortoise-hostel
16,Hotel Epik Residences,,706 Polk St,Civic Center,18,1200,,communal,15,unknown,yes,operator,74,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-hotel-epik-residences
17,Samesun San Francisco,,North Beach (verify),North Beach,,960,,communal,25,true,yes,operator,74,active,contacted by Alex,,,,,inv-samesun-san-francisco
18,The Annex at Hayes Valley,,"420 Hayes St, Hayes Valley",Hayes Valley,,1100,,communal,23,true,yes,operator,73.5,active,not-contacted,,,,,inv-the-annex-at-hayes-valley
19,1214 Polk Street Residences,,"1214 Polk St, Nob Hill",Nob Hill,30,1395,,communal,19,unknown,yes,operator,73.13,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-1214-polk-street-residences
20,Chapter San Francisco,,"1533 Franklin St, Cathedral Hill",Nob Hill,,1200,,communal,24,true,yes,operator,70,active,not-contacted,,,,,inv-chapter-san-francisco
21,371 Columbus Residences,,North Beach,North Beach,34,1195,,communal,30,unknown,yes,operator,67.13,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-371-columbus-residences
22,556 Green St Residences,,North Beach,North Beach,22,1300,,communal,29,unknown,yes,operator,65.5,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-556-green-st-residences
23,Vybe Living (operator),,SoMa / TL / Mission rooms,SoMa,,1500,,communal,18,unknown,yes,operator,63.5,active,not-contacted,,,,,inv-vybe-living-operator
24,2436 Mission Residences,,2436 Mission St,Mission,8,1195,,communal,26,unknown,yes,operator,63.13,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-2436-mission-residences
25,Hive Coliving (was Tribe),,"1040 Folsom St, SoMa",SoMa,,1500,800 (2026-08-22 via booking-page),unknown,10,unknown,yes,operator,61.5,active,contacted by Alex, - ,(845) 304-8555,hivecolivingsf.com,,inv-hive-coliving-was-tribe
26,The Mission Hotel Apartments,,"520 S Van Ness Ave, Mission",Mission,,900,,communal,34,unknown,yes,operator,60,active,not-contacted,,,,,inv-the-mission-hotel-apartments
27,HI Fisherman's Wharf Hostel,,Fort Mason,Marina,,1000,,communal,40,true,yes,operator,59,active,contacted by Alex,,,,,inv-hi-fisherman-s-wharf-hostel
28,Furnished Quarters SF,,"1162 Folsom St, SoMa",SoMa,,2500,,private,12,unknown,yes,operator,52,active,not-contacted,,,,,inv-furnished-quarters-sf
29,Monroe Residence Club,,"1870 Sacramento St, Nob Hill",Nob Hill,,1600,,communal,27,unknown,yes,operator,52,active,not-contacted, - ,(415) 474-6200,reservations@monroeresidenceclub.com,,inv-monroe-residence-club
30,Blok Living Lower Haight,,"565 Page St, Lower Haight",Lower Haight,,1300,,communal,35,unknown,yes,operator,51.5,active,not-contacted,,,,,inv-blok-living-lower-haight
